# source: https://www.fantasypros.com/nba/projections/avg-overall.php
# fetched: 2026-09-25T21:00:32+00:00
# page: NBA Fantasy Basketball Overall 2026-27 Average Projections | FantasyPros
# note: FantasyPros consensus per-game projections, 266 players;
#       no FGA/FTA published, so FG%/FT% z-scores are unweighted.
rank,name,team,pos,inj,inj_note,g,mpg,pts,three,reb,ast,stl,blk,fg_pct,ft_pct,to
92,Jakob Poeltl,TOR,C,,,72,27.2,11.9,0.0,8.1,2.3,0.9,1.1,0.659,0.628,1.5
93,Darius Acuff Jr.,SAC,PG,,,75,31.6,18.6,1.9,3.4,6.6,1.4,0.3,0.457,0.817,3.4
94,Alex Sarr,WAS,"C,PF",,,72,28.0,15.1,1.1,6.9,2.5,0.7,1.8,0.458,0.685,1.7
95,Dereck Lively II,DAL,C,OUT,,71,23.4,8.7,0.0,6.7,2.1,0.6,1.4,0.72,0.618,1.0
96,Brook Lopez,LAC,C,,,75,26.2,10.5,1.6,4.3,1.5,0.6,1.6,0.473,0.808,0.9
97,Zach Edey,MEM,C,OUT,,70,25.8,11.5,0.2,9.1,1.2,0.6,1.5,0.595,0.736,1.9
98,Keyonte George,UTH,"PG,SG",,,73,32.9,20.0,2.3,3.4,5.8,1.0,0.2,0.427,0.871,2.7
99,Darryn Peterson,UTH,"PG,SG",,,75,31.2,18.8,1.9,3.9,3.2,1.4,0.3,0.441,0.807,2.1
100,Trae Young,WAS,PG,OUT,,74,34.6,21.2,2.4,2.8,9.2,1.0,0.2,0.415,0.868,4.1
101,Zion Williamson,NOR,"C,PF",,,69,29.9,22.1,0.0,5.9,4.3,1.0,0.6,0.586,0.7,2.4
102,Ausar Thompson,DET,"PF,SF,SG",,,74,26.0,9.8,0.1,5.8,2.9,1.9,1.0,0.523,0.585,1.5
103,Myles Turner,MIL,C,,,74,27.9,12.4,2.0,5.2,1.4,0.7,1.5,0.449,0.753,1.4
104,Brandin Podziemski,GSW,"PG,SG",,,79,29.7,13.5,1.9,5.2,3.7,1.2,0.2,0.447,0.786,1.6
105,Jalen Green,PHO,"SF,SG",,,71,32.0,20.3,2.7,4.4,3.5,1.1,0.3,0.426,0.784,2.5
106,Jabari Smith Jr.,HOU,"C,PF",,,75,32.4,13.9,2.1,6.7,1.5,0.6,0.8,0.45,0.79,1.2
107,Daniel Gafford,DAL,C,,,73,19.2,9.1,0.0,5.7,1.1,0.6,1.3,0.691,0.687,0.9
108,Peyton Watson,CLE,"SF,PF",,,74,29.5,12.6,1.3,4.8,1.9,1.0,1.3,0.479,0.717,1.4
109,Coby White,CHA,"PG,SG",,,75,34.1,20.2,3.0,3.9,4.4,0.7,0.2,0.44,0.857,2.7
110,Zach LaVine,SAC,"PG,SF,SG",OUT,,69,33.2,19.8,2.6,3.6,3.3,0.7,0.2,0.501,0.844,2.3
111,Dylan Harper,SAS,"PG,SG",,,75,28.9,15.1,1.1,4.4,4.7,1.0,0.4,0.508,0.773,1.8
